Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
guidsl.ArgList.find(String name; Class cls),4,Method,guidsl,ArgList,find(String name; Class cls),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.find(String name; int _layer),4,Method,guidsl,ArgList,find(String name; int _layer),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.ArgList.find(String name; Class cls; int _layer),4,Method,guidsl,ArgList,find(String name; Class cls; int _layer),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.Model.visit(Visitor v),4,Method,guidsl,Model,visit(Visitor v),dmain,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.Verify,2,Class,guidsl,Verify,,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.Verify.l,3,Field,guidsl,Verify,l,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.Verify.predicate,3,Field,guidsl,Verify,predicate,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.Verify.lineno,3,Field,guidsl,Verify,lineno,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.Verify.line,3,Field,guidsl,Verify,line,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.Verify.varTable,3,Field,guidsl,Verify,varTable,cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.Verify.main(String[] args),4,Method,guidsl,Verify,main(String[] args),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.Verify.varRef(int i),4,Method,guidsl,Verify,varRef(int i),cnfFormat,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.fileToken,3,Field,guidsl,dparser,fileToken,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.fileTokenLength,3,Field,guidsl,dparser,fileTokenLength,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.falseToken,3,Field,guidsl,dparser,falseToken,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.falseTokenLength,3,Field,guidsl,dparser,falseTokenLength,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.trueToken,3,Field,guidsl,dparser,trueToken,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.trueTokenLength,3,Field,guidsl,dparser,trueTokenLength,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.endToken,3,Field,guidsl,dparser,endToken,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.endTokenLength,3,Field,guidsl,dparser,endTokenLength,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.incompleteToken,3,Field,guidsl,dparser,incompleteToken,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.incompleteTokenLength,3,Field,guidsl,dparser,incompleteTokenLength,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.completeToken,3,Field,guidsl,dparser,completeToken,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.completeTokenLength,3,Field,guidsl,dparser,completeTokenLength,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.comment,3,Field,guidsl,dparser,comment,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.stack,3,Field,guidsl,dparser,stack,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.filename,3,Field,guidsl,dparser,filename,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.lineno,3,Field,guidsl,dparser,lineno,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.l,3,Field,guidsl,dparser,l,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.dparser(String fname),5,Constructor,guidsl,dparser,dparser(String fname),dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.SATtest.name,3,Field,guidsl,SATtest,name,dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.dparser.tokenizeLine(String line; SATtest t),4,Method,guidsl,dparser,tokenizeLine(String line; SATtest t),dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private
guidsl.SATtest.isComplete(),4,Method,guidsl,SATtest,isComplete(),dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.SATtest.add(Object o),4,Method,guidsl,SATtest,add(Object o),dparse,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AvarListElem,2,Class,guidsl,AvarListElem,,syntaxGuiDSL,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AvarListElem.getAvar(),4,Method,guidsl,AvarListElem,getAvar(),syntaxGuiDSL,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AvarListElem.setParms(Avar arg0),4,Method,guidsl,AvarListElem,setParms(Avar arg0),syntaxGuiDSL,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.stackMarker,3,Field,guidsl,AstNode,stackMarker,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.obj_class,3,Field,guidsl,AstNode,obj_class,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.AstNode.aliasStack,3,Field,guidsl,AstNode,aliasStack,kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.markStack(int size; AstNode n),4,Method,guidsl,AstNode,markStack(int size; AstNode n),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.markStack(),4,Method,guidsl,AstNode,markStack(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.patch(),4,Method,guidsl,AstNode,patch(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.AstNode.toString(),4,Method,guidsl,AstNode,toString(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
